Distance_From_Earth,Crew_Size,Mission_Duration,Budget,Technology_Rating,Communication_Latency,Previous_Attempts,Alien_Contact_Probability,Critical_Failures,Planet_Name_Aurora,Planet_Name_Elysium,Planet_Name_Titanium,Planet_Name_Xenon,Planet_Name_Zarathustra,Atmospheric_Composition_Carbon dioxide-heavy,Atmospheric_Composition_Hydrogen-rich,Atmospheric_Composition_Methane-dominated,Atmospheric_Composition_Oxygen-rich,Surface_Terrain_Icy,Surface_Terrain_Oceanic,Surface_Terrain_Rocky,Surface_Terrain_Volcanic,Energy_Resources_Chemical,Energy_Resources_Geothermal,Energy_Resources_Nuclear,Energy_Resources_Solar,Success_Status
0.005716939572314411,1.0,0.07784431137724553,0.10293167040571882,0.5555555555555556,0.20383451059535826,0.0,0.098812945507914,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0403489161584604,0.38636363636363635,0.11377245508982038,0.16576887165122456,0.4444444444444445,0.6851664984863773,1.0,0.3149850944419381,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
0.07212486088577214,0.5909090909090909,0.5598802395209581,0.17513973915357994,0.4444444444444445,0.803733602421796,0.5,0.9517260820991158,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.09528760838110657,0.7045454545454546,0.6497005988023952,0.1604877245015653,0.2222222222222222,0.8824419778002018,0.25,0.1274767062250996,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.0817034773376371,0.09090909090909091,0.7125748502994012,0.1050568040187417,0.8888888888888888,0.6372351160443995,0.0,0.4874908541918786,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.07693976734859558,0.43181818181818177,0.04491017964071857,0.1708176483262988,0.4444444444444445,0.8905146316851665,0.0,0.5576770686552254,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.10056815896261317,0.4772727272727273,0.002994011976047914,0.09549159030127888,1.0,0.9924318869828456,1.0,0.6799172699154591,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.006378836840494949,0.7954545454545455,0.3233532934131737,0.17420603233752022,0.4444444444444445,0.5580221997981837,0.75,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.06379568218691833,0.11363636363636365,0.20359281437125754,0.17575657714066015,0.1111111111111111,0.5383451059535822,0.0,0.5291043194362695,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.0525470855188336,0.18181818181818182,0.9371257485029941,0.13709435508743464,0.1111111111111111,0.22452068617558021,0.75,0.1139849560491944,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
